price,quantity,type,timestamp
37953000,0.0874,1,2022/05/22 15:25
37956000,0.5029,1,2022/05/22 15:25
37957000,0.0507,1,2022/05/22 15:25
37937000,0.0876,0,2022/05/22 15:25
37936000,1.8303,0,2022/05/22 15:25
37935000,0.0476,0,2022/05/22 15:25
37934000,0.4153,0,2022/05/22 15:25
37932000,0.1366,0,2022/05/22 15:25
37950000,10.5664,1,2022/05/22 15:25
37951000,0.1585,1,2022/05/22 15:25
37953000,0.0874,1,2022/05/22 15:25
37956000,0.5029,1,2022/05/22 15:25
37957000,0.0507,1,2022/05/22 15:25
37937000,0.0876,0,2022/05/22 15:25
37936000,1.8303,0,2022/05/22 15:25
37935000,0.0476,0,2022/05/22 15:25
37934000,0.4153,0,2022/05/22 15:25
37932000,0.1366,0,2022/05/22 15:25
37950000,10.5521,1,2022/05/22 15:25
37951000,0.1585,1,2022/05/22 15:25
37953000,0.0874,1,2022/05/22 15:25
37956000,0.5029,1,2022/05/22 15:25
37957000,0.0507,1,2022/05/22 15:25
37937000,0.0876,0,2022/05/22 15:25
37936000,1.8303,0,2022/05/22 15:25
37935000,0.0476,0,2022/05/22 15:25
37934000,0.4153,0,2022/05/22 15:25
37932000,0.1366,0,2022/05/22 15:25
37950000,10.5521,1,2022/05/22 15:25
37951000,0.1585,1,2022/05/22 15:25
37953000,0.0874,1,2022/05/22 15:25
37956000,0.5029,1,2022/05/22 15:25
37957000,0.0507,1,2022/05/22 15:25
37937000,0.0733,0,2022/05/22 15:25
37936000,1.8303,0,2022/05/22 15:25
37935000,0.0476,0,2022/05/22 15:25
37934000,0.4153,0,2022/05/22 15:25
37932000,0.1366,0,2022/05/22 15:25
37950000,10.4842,1,2022/05/22 15:25
37951000,0.1585,1,2022/05/22 15:25
37953000,0.0874,1,2022/05/22 15:25
37956000,0.5029,1,2022/05/22 15:25
37957000,0.0507,1,2022/05/22 15:25
37937000,0.0733,0,2022/05/22 15:25
37936000,1.8303,0,2022/05/22 15:25
37935000,0.0476,0,2022/05/22 15:25
37934000,0.4153,0,2022/05/22 15:25
37932000,0.1366,0,2022/05/22 15:25
37950000,10.4842,1,2022/05/22 15:25
37951000,0.1585,1,2022/05/22 15:25
37953000,0.0874,1,2022/05/22 15:25
37956000,0.5029,1,2022/05/22 15:25
37957000,0.0507,1,2022/05/22 15:25
37938000,0.0016,0,2022/05/22 15:25
37937000,0.0733,0,2022/05/22 15:25
37936000,1.8303,0,2022/05/22 15:25
37935000,0.096,0,2022/05/22 15:25
37934000,0.4153,0,2022/05/22 15:25
37950000,10.4832,1,2022/05/22 15:25
37951000,0.1585,1,2022/05/22 15:25
37953000,0.0874,1,2022/05/22 15:25
37956000,0.4214,1,2022/05/22 15:25
37957000,0.0507,1,2022/05/22 15:25
37938000,0.0016,0,2022/05/22 15:25
37937000,0.0739,0,2022/05/22 15:25
37936000,1.8303,0,2022/05/22 15:25
37935000,0.096,0,2022/05/22 15:25
37934000,0.4153,0,2022/05/22 15:25
37950000,10.4783,1,2022/05/22 15:25
37951000,0.1585,1,2022/05/22 15:25
37953000,0.0874,1,2022/05/22 15:25
37956000,0.4214,1,2022/05/22 15:25
37957000,0.0507,1,2022/05/22 15:25
37938000,0.0006,0,2022/05/22 15:25
37937000,0.0739,0,2022/05/22 15:25
37936000,1.8303,0,2022/05/22 15:25
37935000,0.096,0,2022/05/22 15:25
37934000,0.4153,0,2022/05/22 15:25
37950000,10.4783,1,2022/05/22 15:25
37951000,0.1585,1,2022/05/22 15:25
37953000,0.0874,1,2022/05/22 15:25
37956000,0.4214,1,2022/05/22 15:25
37957000,0.0507,1,2022/05/22 15:25
37938000,0.0287,0,2022/05/22 15:25
37937000,0.0739,0,2022/05/22 15:25
37936000,1.8303,0,2022/05/22 15:25
37935000,0.096,0,2022/05/22 15:25
37934000,0.4153,0,2022/05/22 15:25
37950000,10.4783,1,2022/05/22 15:25
37951000,0.1585,1,2022/05/22 15:25
37953000,0.0874,1,2022/05/22 15:25
37956000,0.4214,1,2022/05/22 15:25
37957000,0.0507,1,2022/05/22 15:25
37940000,0.0789,0,2022/05/22 15:26
37938000,0.0287,0,2022/05/22 15:26
37937000,0.0739,0,2022/05/22 15:26
37936000,1.8303,0,2022/05/22 15:26
37935000,0.096,0,2022/05/22 15:26
37950000,9.9573,1,2022/05/22 15:26
37951000,0.1028,1,2022/05/22 15:26
37953000,0.0305,1,2022/05/22 15:26
37956000,0.4214,1,2022/05/22 15:26
37957000,0.0507,1,2022/05/22 15:26
37940000,0.0789,0,2022/05/22 15:26
37938000,0.0288,0,2022/05/22 15:26
37937000,0.0739,0,2022/05/22 15:26
37936000,1.8303,0,2022/05/22 15:26
37935000,0.096,0,2022/05/22 15:26
37950000,9.9389,1,2022/05/22 15:26
37951000,0.1028,1,2022/05/22 15:26
37953000,0.0305,1,2022/05/22 15:26
37956000,0.4214,1,2022/05/22 15:26
37957000,0.0507,1,2022/05/22 15:26
37940000,0.0789,0,2022/05/22 15:26
37938000,0.0288,0,2022/05/22 15:26
37937000,0.074,0,2022/05/22 15:26
37936000,1.8303,0,2022/05/22 15:26
37935000,0.096,0,2022/05/22 15:26
37950000,9.9215,1,2022/05/22 15:26
37951000,0.1028,1,2022/05/22 15:26
37953000,0.0305,1,2022/05/22 15:26
37956000,0.4214,1,2022/05/22 15:26
37957000,0.0507,1,2022/05/22 15:26
37938000,0.0288,0,2022/05/22 15:26
37937000,0.074,0,2022/05/22 15:26
37936000,1.8304,0,2022/05/22 15:26
37935000,0.0961,0,2022/05/22 15:26
37934000,0.4153,0,2022/05/22 15:26
37950000,9.9215,1,2022/05/22 15:26
37951000,0.1028,1,2022/05/22 15:26
37953000,0.0305,1,2022/05/22 15:26
37956000,0.4214,1,2022/05/22 15:26
37957000,0.0507,1,2022/05/22 15:26
37938000,0.0288,0,2022/05/22 15:26
37937000,0.0734,0,2022/05/22 15:26
37936000,1.8304,0,2022/05/22 15:26
37935000,0.0961,0,2022/05/22 15:26
37934000,0.4154,0,2022/05/22 15:26
37950000,9.9214,1,2022/05/22 15:26
37951000,0.1028,1,2022/05/22 15:26
37953000,0.0305,1,2022/05/22 15:26
37956000,0.4214,1,2022/05/22 15:26
37957000,0.0507,1,2022/05/22 15:26
37938000,0.0288,0,2022/05/22 15:26
37937000,0.0734,0,2022/05/22 15:26
37936000,1.8304,0,2022/05/22 15:26
37935000,0.0961,0,2022/05/22 15:26
37934000,0.4154,0,2022/05/22 15:26
37950000,9.9214,1,2022/05/22 15:26
37951000,0.1028,1,2022/05/22 15:26
37953000,0.0305,1,2022/05/22 15:26
37956000,0.4733,1,2022/05/22 15:26
37957000,0.1361,1,2022/05/22 15:26
37938000,0.0284,0,2022/05/22 15:26
37937000,0.0734,0,2022/05/22 15:26
37936000,1.8304,0,2022/05/22 15:26
37935000,0.0961,0,2022/05/22 15:26
37934000,0.4154,0,2022/05/22 15:26
37950000,9.9214,1,2022/05/22 15:26
37951000,0.1028,1,2022/05/22 15:26
37953000,0.0305,1,2022/05/22 15:26
37956000,0.4733,1,2022/05/22 15:26
37957000,0.1361,1,2022/05/22 15:26
37938000,0.0284,0,2022/05/22 15:26
37937000,0.0734,0,2022/05/22 15:26
37936000,1.8304,0,2022/05/22 15:26
37935000,0.0961,0,2022/05/22 15:26
37934000,0.4154,0,2022/05/22 15:26
37950000,9.9213,1,2022/05/22 15:26
37951000,0.1028,1,2022/05/22 15:26
37953000,0.0305,1,2022/05/22 15:26
37956000,0.4733,1,2022/05/22 15:26
37957000,0.1361,1,2022/05/22 15:26
37938000,0.0284,0,2022/05/22 15:26
37937000,0.0734,0,2022/05/22 15:26
37936000,1.8304,0,2022/05/22 15:26
37935000,0.0961,0,2022/05/22 15:26
37934000,0.4154,0,2022/05/22 15:26
37950000,9.909,1,2022/05/22 15:26
37951000,0.1028,1,2022/05/22 15:26
37953000,0.0305,1,2022/05/22 15:26
37956000,0.4733,1,2022/05/22 15:26
37957000,0.1361,1,2022/05/22 15:26
37938000,0.0284,0,2022/05/22 15:26
37937000,0.0734,0,2022/05/22 15:26
37936000,1.8304,0,2022/05/22 15:26
37935000,0.0961,0,2022/05/22 15:26
37934000,0.4154,0,2022/05/22 15:26
37950000,9.909,1,2022/05/22 15:26
37951000,0.1028,1,2022/05/22 15:26
37953000,0.0305,1,2022/05/22 15:26
37956000,0.4733,1,2022/05/22 15:26
37957000,0.1361,1,2022/05/22 15:26
37938000,0.0284,0,2022/05/22 15:26
37937000,0.0734,0,2022/05/22 15:26
37936000,1.8304,0,2022/05/22 15:26
37935000,0.0961,0,2022/05/22 15:26
37934000,0.4154,0,2022/05/22 15:26
37950000,9.909,1,2022/05/22 15:26
37951000,0.1028,1,2022/05/22 15:26
37953000,0.0305,1,2022/05/22 15:26
37956000,0.4733,1,2022/05/22 15:26
37957000,0.1361,1,2022/05/22 15:26
37938000,0.0284,0,2022/05/22 15:27
37937000,0.0734,0,2022/05/22 15:27
37936000,1.8304,0,2022/05/22 15:27
37935000,0.0961,0,2022/05/22 15:27
37934000,0.4154,0,2022/05/22 15:27
37950000,9.7638,1,2022/05/22 15:27
37951000,0.1028,1,2022/05/22 15:27
37953000,0.0305,1,2022/05/22 15:27
37956000,0.4733,1,2022/05/22 15:27
37957000,0.1361,1,2022/05/22 15:27
37938000,0.0284,0,2022/05/22 15:27
37937000,0.0734,0,2022/05/22 15:27
37936000,1.8304,0,2022/05/22 15:27
37935000,0.0961,0,2022/05/22 15:27
37934000,0.4154,0,2022/05/22 15:27
37950000,9.7638,1,2022/05/22 15:27
37951000,0.1028,1,2022/05/22 15:27
37953000,0.0305,1,2022/05/22 15:27
37956000,0.4733,1,2022/05/22 15:27
37957000,0.1361,1,2022/05/22 15:27
37938000,0.0284,0,2022/05/22 15:27
37937000,0.0734,0,2022/05/22 15:27
37936000,1.8304,0,2022/05/22 15:27
37935000,0.0961,0,2022/05/22 15:27
37934000,0.4154,0,2022/05/22 15:27
37950000,9.7468,1,2022/05/22 15:27
37951000,0.1028,1,2022/05/22 15:27
37953000,0.0305,1,2022/05/22 15:27
37956000,0.4733,1,2022/05/22 15:27
37957000,0.1361,1,2022/05/22 15:27
37938000,0.0284,0,2022/05/22 15:27
37937000,0.0734,0,2022/05/22 15:27
37936000,1.8304,0,2022/05/22 15:27
37935000,0.0961,0,2022/05/22 15:27
37934000,0.4154,0,2022/05/22 15:27
37950000,9.7076,1,2022/05/22 15:27
37951000,0.1028,1,2022/05/22 15:27
37953000,0.0305,1,2022/05/22 15:27
37956000,0.4733,1,2022/05/22 15:27
37957000,0.1361,1,2022/05/22 15:27
37938000,0.0094,0,2022/05/22 15:27
37937000,0.0734,0,2022/05/22 15:27
37936000,1.8304,0,2022/05/22 15:27
37935000,0.0961,0,2022/05/22 15:27
37934000,0.4154,0,2022/05/22 15:27
37950000,9.7045,1,2022/05/22 15:27
37951000,0.1028,1,2022/05/22 15:27
37953000,0.0305,1,2022/05/22 15:27
37956000,0.4733,1,2022/05/22 15:27
37957000,0.1361,1,2022/05/22 15:27
37937000,0.0734,0,2022/05/22 15:27
37936000,1.8304,0,2022/05/22 15:27
37935000,0.0961,0,2022/05/22 15:27
37934000,0.4154,0,2022/05/22 15:27
37933000,0.0001,0,2022/05/22 15:27
37950000,9.6846,1,2022/05/22 15:27
37951000,0.1028,1,2022/05/22 15:27
37953000,0.0305,1,2022/05/22 15:27
37956000,0.4733,1,2022/05/22 15:27
37957000,0.1361,1,2022/05/22 15:27
37937000,0.0666,0,2022/05/22 15:27
37936000,1.8304,0,2022/05/22 15:27
37935000,0.0961,0,2022/05/22 15:27
37934000,0.4154,0,2022/05/22 15:27
37933000,0.0001,0,2022/05/22 15:27
37950000,9.6846,1,2022/05/22 15:27
37951000,0.1028,1,2022/05/22 15:27
37953000,0.0305,1,2022/05/22 15:27
37956000,0.4733,1,2022/05/22 15:27
37957000,0.1361,1,2022/05/22 15:27
37937000,0.0594,0,2022/05/22 15:27
37936000,1.8304,0,2022/05/22 15:27
37935000,0.0961,0,2022/05/22 15:27
37934000,0.4154,0,2022/05/22 15:27
37933000,0.0001,0,2022/05/22 15:27
37950000,9.6846,1,2022/05/22 15:27
37951000,0.1028,1,2022/05/22 15:27
37953000,0.0305,1,2022/05/22 15:27
37956000,0.4733,1,2022/05/22 15:27
37957000,0.1361,1,2022/05/22 15:27
37937000,0.0594,0,2022/05/22 15:27
37936000,1.8304,0,2022/05/22 15:27
37935000,0.0961,0,2022/05/22 15:27
37934000,0.4154,0,2022/05/22 15:27
37933000,0.0001,0,2022/05/22 15:27
37950000,9.6846,1,2022/05/22 15:27
37951000,0.1028,1,2022/05/22 15:27
37953000,0.0305,1,2022/05/22 15:27
37956000,0.4733,1,2022/05/22 15:27
37957000,0.1361,1,2022/05/22 15:27
37937000,0.0554,0,2022/05/22 15:27
37936000,1.8304,0,2022/05/22 15:27
37935000,0.0961,0,2022/05/22 15:27
37934000,0.4154,0,2022/05/22 15:27
37933000,0.0001,0,2022/05/22 15:27
37950000,9.644,1,2022/05/22 15:27
37951000,0.1028,1,2022/05/22 15:27
37953000,0.0305,1,2022/05/22 15:27
37956000,0.4733,1,2022/05/22 15:27
37957000,0.1361,1,2022/05/22 15:27
37937000,0.0554,0,2022/05/22 15:27
37936000,1.8304,0,2022/05/22 15:27
37935000,0.0961,0,2022/05/22 15:27
37934000,0.4154,0,2022/05/22 15:27
37933000,0.0001,0,2022/05/22 15:27
37950000,9.5944,1,2022/05/22 15:27
37951000,0.1028,1,2022/05/22 15:27
37953000,0.0305,1,2022/05/22 15:27
37956000,0.4733,1,2022/05/22 15:27
37957000,0.1361,1,2022/05/22 15:27
37937000,0.0554,0,2022/05/22 15:27
37936000,1.8304,0,2022/05/22 15:27
37935000,0.0961,0,2022/05/22 15:27
37934000,0.4154,0,2022/05/22 15:27
37933000,0.0001,0,2022/05/22 15:27
37950000,9.5944,1,2022/05/22 15:27
37951000,0.1028,1,2022/05/22 15:27
37953000,0.0305,1,2022/05/22 15:27
37956000,0.4733,1,2022/05/22 15:27
37957000,0.1361,1,2022/05/22 15:27
37937000,0.0509,0,2022/05/22 15:28
37936000,1.8304,0,2022/05/22 15:28
37935000,0.0961,0,2022/05/22 15:28
37934000,0.4154,0,2022/05/22 15:28
37933000,0.0001,0,2022/05/22 15:28
37950000,9.5944,1,2022/05/22 15:28
37951000,0.1028,1,2022/05/22 15:28
37953000,0.0305,1,2022/05/22 15:28
37956000,0.4733,1,2022/05/22 15:28
37957000,0.1361,1,2022/05/22 15:28
37938000,4.1844,0,2022/05/22 15:28
37937000,0.0386,0,2022/05/22 15:28
37936000,1.8304,0,2022/05/22 15:28
37935000,0.0961,0,2022/05/22 15:28
37934000,0.4154,0,2022/05/22 15:28
37950000,9.5944,1,2022/05/22 15:28
37951000,0.1506,1,2022/05/22 15:28
37953000,0.0305,1,2022/05/22 15:28
37956000,0.4733,1,2022/05/22 15:28
37957000,0.1361,1,2022/05/22 15:28
37938000,4.161,0,2022/05/22 15:28
37937000,0.0386,0,2022/05/22 15:28
37936000,1.8304,0,2022/05/22 15:28
37935000,0.0961,0,2022/05/22 15:28
37934000,0.4154,0,2022/05/22 15:28
37950000,9.5944,1,2022/05/22 15:28
37951000,0.1506,1,2022/05/22 15:28
37953000,0.0305,1,2022/05/22 15:28
37956000,0.4733,1,2022/05/22 15:28
37957000,0.1361,1,2022/05/22 15:28
37938000,4.1866,0,2022/05/22 15:28
37937000,0.0386,0,2022/05/22 15:28
37936000,1.8304,0,2022/05/22 15:28
37935000,0.0961,0,2022/05/22 15:28
37934000,0.4154,0,2022/05/22 15:28
37950000,9.5944,1,2022/05/22 15:28
37951000,0.1506,1,2022/05/22 15:28
37953000,0.0305,1,2022/05/22 15:28
37956000,0.4733,1,2022/05/22 15:28
37957000,0.1361,1,2022/05/22 15:28
37938000,4.1866,0,2022/05/22 15:28
37937000,0.0386,0,2022/05/22 15:28
37936000,1.8304,0,2022/05/22 15:28
37935000,0.0961,0,2022/05/22 15:28
37934000,0.4154,0,2022/05/22 15:28
37950000,9.5944,1,2022/05/22 15:28
37951000,0.1506,1,2022/05/22 15:28
37953000,0.0305,1,2022/05/22 15:28
37956000,0.4733,1,2022/05/22 15:28
37957000,0.1361,1,2022/05/22 15:28
37938000,4.1866,0,2022/05/22 15:28
37937000,0.0386,0,2022/05/22 15:28
37936000,1.8304,0,2022/05/22 15:28
37935000,0.0961,0,2022/05/22 15:28
37934000,0.4154,0,2022/05/22 15:28
37950000,9.5944,1,2022/05/22 15:28
37951000,0.1506,1,2022/05/22 15:28
37953000,0.0305,1,2022/05/22 15:28
37956000,0.4733,1,2022/05/22 15:28
37957000,0.1361,1,2022/05/22 15:28
37939000,0.5461,0,2022/05/22 15:28
37938000,4.1866,0,2022/05/22 15:28
37937000,0.0386,0,2022/05/22 15:28
37936000,1.8304,0,2022/05/22 15:28
37935000,0.0961,0,2022/05/22 15:28
37949000,0.1739,1,2022/05/22 15:28
37950000,9.5944,1,2022/05/22 15:28
37951000,0.1506,1,2022/05/22 15:28
37953000,0.0305,1,2022/05/22 15:28
37956000,0.4733,1,2022/05/22 15:28
37939000,0.5334,0,2022/05/22 15:28
37938000,4.1866,0,2022/05/22 15:28
37937000,0.0386,0,2022/05/22 15:28
37936000,1.4866,0,2022/05/22 15:28
37935000,0.0961,0,2022/05/22 15:28
